任務ID,名稱,描述,图片
1,调和屋, 在此可以调和您想要的一切,202
2,英雄塚, 所有的傳說都在這裡誕生,202
3,VIP, 尊貴的證明,202
4,商店, 每次挑戰關卡後都有機會出現!!,202
101,第一章·第一關,普通,101
102,第一章·第二關,普通,101
103,第一章·第三關,普通,101
104,第一章·第四關,普通,101
105,第一章·第五關,普通,101
106,第一章·第六關,普通,101
107,第一章·第七關,普通,101
108,第一章·第八關,普通,101
201,第二章·第一關,普通,101
202,第二章·第二關,普通,101
203,第二章·第三關,普通,101
204,第二章·第四關,普通,101
205,第二章·第五關,普通,101
206,第二章·第六關,普通,101
207,第二章·第七關,普通,101
208,第二章·第八關,普通,101
301,第三章·第一關,普通,101
302,第三章·第二關,普通,101
303,第三章·第三關,普通,101
304,第三章·第四關,普通,101
305,第三章·第五關,普通,101
306,第三章·第六關,普通,101
307,第三章·第七關,普通,101
308,第三章·第八關,普通,101
401,第四章·第一關,普通,101
402,第四章·第二關,普通,101
403,第四章·第三關,普通,101
404,第四章·第四關,普通,101
405,第四章·第五關,普通,101
406,第四章·第六關,普通,101
407,第四章·第七關,普通,101
408,第四章·第八關,普通,101
501,第五章·第一關,普通,101
502,第五章·第二關,普通,101
503,第五章·第三關,普通,101
504,第五章·第四關,普通,101
505,第五章·第五關,普通,101
506,第五章·第六關,普通,101
507,第五章·第七關,普通,101
508,第五章·第八關,普通,101
20102,第一章·第一關,精英,101
20104,第一章·第二關,精英,101
20106,第一章·第三關,精英,101
20108,第一章·第四關,精英,101
20202,第二章·第一關,精英,101
20204,第二章·第二關,精英,101
20206,第二章·第三關,精英,101
20208,第二章·第四關,精英,101
20302,第三章·第一關,精英,101
20304,第三章·第二關,精英,101
20306,第三章·第三關,精英,101
20308,第三章·第四關,精英,101
20402,第四章·第一關,精英,101
20404,第四章·第二關,精英,101
20406,第四章·第三關,精英,101
20408,第四章·第四關,精英,101
20502,第五章·第一關,精英,101
20504,第五章·第二關,精英,101
20506,第五章·第三關,精英,101
20508,第五章·第四關,精英,101
30101,罪與火,多么痛的领悟，你曾是我的全部,101
30102,無限屍潮,多么痛的领悟，你曾是我的全部,101
30103,絕望之地,多么痛的领悟，你曾是我的全部,101
30104,僵屍實驗室,多么痛的领悟，你曾是我的全部,101
30105,無所不能的存在,多么痛的领悟，你曾是我的全部,101
30106,將軍令,多么痛的领悟，你曾是我的全部,101
30108,狂怒之身,多么痛的领悟，你曾是我的全部,101
30107,應天長,多么痛的领悟，你曾是我的全部,101
30109,大地之靈,強化素材，一網打盡！！,101
30110,武具素材出沒,多么痛的领悟，你曾是我的全部,101
30111,防具素材出沒,多么痛的领悟，你曾是我的全部,101
30112,靈魂素材出沒,多么痛的领悟，你曾是我的全部,101
30113,貪獄,海量銅錢出沒預警！！,101
30114,靈丹,海量經驗丹出沒預警!!,101
30115,疾風火靈,奪取火玉，打造神槍！！,101
30116,疾風水靈,奪取水玉，打造神斧！！,101
30117,疾風木靈,奪取木玉，打造神劍！！,101
30118,青天火靈,奪取火石，打造戰衣！！,101
30119,青天水靈,奪取水石，打造戰鎧！！,101
30120,青天木靈,奪取木石，打造戰袍！！,101
30123,不朽火靈,奪取火晶，召喚火屬武將！！,101
30124,不朽水靈,奪取水晶，召喚水属武將！！,101
30125,不朽木靈,奪取木晶，召喚木属武將！！,101
30126,炸彈狂魔,呯！！是否整個人變得更高興了。,101
30127,父之執念,我的爸爸真的不怕打啊！！你不信嗎？,101
31107,應天長,多么痛的领悟，你曾是我的全部,101
31109,大地之靈,強化素材，一網打盡！！,101
31113,貪獄,海量銅錢出沒預警！！,101
31114,靈丹,海量經驗丹出沒預警!!,101
31115,疾風火靈,奪取火玉，打造神槍！！,101
31116,疾風水靈,奪取水玉，打造神斧！！,101
31117,疾風木靈,奪取木玉，打造神劍！！,101
31118,青天火靈,奪取火石，打造戰衣！！,101
31119,青天水靈,奪取水石，打造戰鎧！！,101
31120,青天木靈,奪取木石，打造戰袍！！,101
31123,不朽火靈,奪取火晶，召喚火屬武將！！,101
31124,不朽水靈,奪取水晶，召喚水属武將！！,101
31125,不朽木靈,奪取木晶，召喚木属武將！！,101
31126,炸彈狂魔,呯！！是否整個人變得更高興了。,101
31127,父之執念,我的爸爸真的不怕打啊！！你不信嗎？,101
32113,貪獄,海量銅錢出沒預警！！,101
32114,靈丹,海量經驗丹出沒預警!!,101
32115,疾風火靈,奪取火玉，打造神槍！！,101
32116,疾風水靈,奪取水玉，打造神斧！！,101
32117,疾風木靈,奪取木玉，打造神劍！！,101
32118,青天火靈,奪取火石，打造戰衣！！,101
32119,青天水靈,奪取水石，打造戰鎧！！,101
32120,青天木靈,奪取木石，打造戰袍！！,101
32123,不朽火靈,奪取火晶，召喚火屬武將！！,101
32124,不朽水靈,奪取水晶，召喚水属武將！！,101
32125,不朽木靈,奪取木晶，召喚木属武將！！,101
32126,炸彈狂魔,呯！！是否整個人變得更高興了。,101
32127,父之執念,我的爸爸真的不怕打啊！！你不信嗎？,101
