itemId,name,desc,desc1,skillName,skillDesc
0,銅錢,可用於購買初級道具和材料,,, 
1,勾玉,可用於兌換銅錢和購買英雄等高級消費,,,
2,泣血石,可用於世界BOSS商店中兌換稀有道具,,, 
3,體力,每次進行戰鬥都需要消耗體力,,, 
10,主角经验,用来提升主角等级,,, 
11011,神威槍,上有不滅之炎，所到之處火海襲天，聲勢駭人。,,,
11012,神威槍,上有不滅之炎，所到之處火海襲天，聲勢駭人。,,破軍 LV1,攻擊力提高5%
11013,神威槍,上有不滅之炎，所到之處火海襲天，聲勢駭人。,,破軍 LV2,攻擊力提高10%
11014,神威槍,上有不滅之炎，所到之處火海襲天，聲勢駭人。,,破軍 LV3,攻擊力提高15%
11015,赤炎神威槍,焰陽晶所制，所到之處火海襲天，聲勢駭人。,,破軍 LV4,攻擊力提高20%
12011,邪光衣,至邪之物，以萬千童子精血煉化而成，攜者將獲得無上道法，但心智會逐漸變得暴戾嗜殺。,,,
12012,邪光衣,至邪之物，以萬千童子精血煉化而成，攜者將獲得無上道法，但心智會逐漸變得暴戾嗜殺。,,祿存 LV1,回避率增加4%
12013,邪光衣,至邪之物，以萬千童子精血煉化而成，攜者將獲得無上道法，但心智會逐漸變得暴戾嗜殺。,,祿存 LV2,回避率增加6%
12014,邪光衣,至邪之物，以萬千童子精血煉化而成，攜者將獲得無上道法，但心智會逐漸變得暴戾嗜殺。,,祿存 LV3,回避率增加8%
12015,戾血邪光衣,至邪之物，以萬千童子精血煉化而成，攜者將獲得無上道法，但心智會逐漸變得暴戾嗜殺。,,祿存 LV4,回避率增加10%
13011,沖虛巾,五嶽靈氣所育之物，攜者可與靈氣融合為一，進入神人境界。,,,
13012,沖虛巾,五嶽靈氣所育之物，攜者可與靈氣融合為一，進入神人境界。,,貪狼 LV1,攻擊速度提高5%
13013,沖虛巾,五嶽靈氣所育之物，攜者可與靈氣融合為一，進入神人境界。,,貪狼 LV2,攻擊速度提高10%
13014,沖虛巾,五嶽靈氣所育之物，攜者可與靈氣融合為一，進入神人境界。,,貪狼 LV3,攻擊速度提高15%
13015,沖虛五嶽巾,五嶽靈氣所育之物，攜者可與靈氣融合為一，進入神人境界。,,貪狼 LV4,攻擊速度提高20%
14011,萬獸靴,取世間萬獸之骨煉化而成，盔成之日天現異象，萬獸齊鳴。,,,
14012,萬獸靴,取世間萬獸之骨煉化而成，盔成之日天現異象，萬獸齊鳴。,,,
14013,萬獸靴,取世間萬獸之骨煉化而成，盔成之日天現異象，萬獸齊鳴。,,,
14014,萬獸靴,取世間萬獸之骨煉化而成，盔成之日天現異象，萬獸齊鳴。,,,
14015,萬獸靴,取世間萬獸之骨煉化而成，盔成之日天現異象，萬獸齊鳴。,,,
21101,雲母,造岩礦物，裝備进阶必備之物。,,,
21201,精銅,精煉而成的銅，裝備进阶必備之物。,,,
21301,玄鐵,鑄物極品材料，裝備进阶必備之物。,,,
21401,秘銀,比玄鐵堅固卻更為輕巧的材料，裝備进阶必備之物。,,,
21501,地心石,稀世珍寶，采自地底深處的神秘礦石，裝備进阶必備之物。,,,
22011,咒符,裝備进阶時加入，提升5%進階成功率,,,
22012,道童咒,裝備进阶時加入，提升10%進階成功率,,,
22013,天師咒,裝備进阶時加入，提升15%進階成功率,,,
22014,道祖咒,裝備进阶時加入，提升20%進階成功率,,,
22015,陰陽咒,裝備进阶時加入，提升25%進階成功率,,,
41011,增氣丹,由道士學徒煉製，使用後可以增加300點經驗。,,,
41012,聚靈丹,由初學道士煉製，使用後可以增加600點經驗。,,,
41013,暴魂丹,由高級道士煉製，使用後可以增加900點經驗。,,,
41014,五彩葫蘆果,五行之氣孕育而成，使用後可以增加1200點經驗。,,,
41015,萬年地心乳,凝聚萬年的天地精華，使用後可以增加1500點經驗。,,,
42101,武功秘笈（慧元）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42102,武功秘笈（我道行）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42103,武功秘笈（化骨龍）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42104,武功秘笈（赤鴉）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42105,武功秘笈（逆道）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42106,武功秘笈（夜瞳）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42107,武功秘笈（小品）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42108,武功秘笈（狂徒）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42109,武功秘笈（焰焰）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42110,武功秘笈（空）,使用後增加30000點經驗，並有概率提升技能等級。,,,
42201,武功秘笈（九品）,使用後增加30000點經驗，並有概率提升技能等級。,,,
