"技能ID	",名字,圖示,描述, 類型(1=主帥技2=必殺技3=普通技),模型, extenl
1,普通攻擊,skill_1,作用平平的普通攻擊,3,,
2,展家腿法,skill_2,前方彈道6格最先命中目標受到傷害。,2,,
3,魅惑術,skill_3,前方3格範圍單體受到混亂效果。,2,,
4,咒雷降世（主帥),skill_4,包括敵方主帥在內全體目標受到傷害。,1,,
5,懸壺濟世（主帥）,skill_5,全體我方成員接受回復效果（包括自身）。,1,,
6,惡毒詛咒（主帥）,skill_6, 敵方全體防禦下降50%持續2回合(不包括主帥),1,,
7,狼牙之怒,skill_7,前方3格受到傷害並造成中毒效果。,2,,
11,猛虎襲,skill_11,前方向下2X2敵人受到傷害。,2,,
12,血毒術,skill_12,釋放毒物並對前方2格造成中毒傷害,2,,
15,烈焰噴吐,skill_15,對前方單體造成巨大傷害，並眩暈目標一個回合,2,,
17,千鈞重擊,skill_17,向前方1個單位造成傷害,4,,
18,橫掃,skill_18,向前方打橫3格單位造成傷害,4,,
19,迴旋擊,skill_19,向身邊周圍1格範圍的單位造成傷害,4,,
20,貫通擊,skill_20,向前方3個單位造成傷害,4,,
21,治療術,skill_21,一定幾率有向前方角色進行治療,4,,
22,恢復術,skill_22,一定幾率向前方打橫3格單位造成治療,4,,
23,五氣朝元,skill_23,向身邊1格範圍的單位造成治療,4,,
24, 眩暈重擊,skill_24,向前方1個單位造成傷害，及一定幾率附帶麻痺效果,4,,
26,地震術,skill_26,距離前方2格排單位，一定幾率施展大範圍的麻痺效果,4,,
28,毒刺,skill_28,向前方1個單位造成傷害，及一定幾率附帶中毒效果,4,,
30,毒物,skill_30,距離前方2排的單位，一定幾率施展大範圍的中毒效果,4,,
32,主帥攻擊,skill_1,主帥的普通攻擊，擁有特別的攻擊方式。,3,,
